data,rain,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,rain_sum
2025-02-20,,,,,,
2025-02-21,,,,,,
2025-02-22,,,,,,
2025-02-23,0.0,27.1,19.2,22.3,83.0,
2025-02-24,0.0,29.6,19.4,23.0,79.0,
2025-02-25,0.0,31.4,19.9,24.1,75.0,
2025-02-26,0.1,31.7,19.9,24.6,70.0,
2025-02-27,0.0,32.0,20.5,24.9,66.0,
2025-02-28,0.0,31.5,20.0,24.3,69.0,
2025-03-01,0.0,31.5,20.0,24.5,69.0,
2025-03-02,0.0,32.7,21.2,25.5,61.0,
2025-03-03,0.0,31.7,20.6,24.8,61.0,
2025-03-04,0.0,30.8,19.1,23.8,67.0,
2025-03-05,0.0,30.0,20.0,23.7,68.0,
2025-03-06,0.0,30.3,18.8,23.0,68.0,
2025-03-07,0.0,30.3,19.4,23.2,69.0,
2025-03-08,0.0,30.4,19.2,23.0,74.0,
2025-03-09,0.0,31.2,16.9,23.7,75.0,
2025-03-10,0.0,25.2,18.7,21.6,83.0,
2025-03-11,0.0,28.8,17.7,21.8,86.0,
2025-03-12,0.0,28.5,18.7,22.5,86.0,
2025-03-13,0.0,28.2,19.1,22.9,86.0,
2025-03-14,0.0,26.6,19.4,22.4,87.0,
2025-03-15,0.0,26.0,19.5,21.5,88.0,
2025-03-16,0.0,23.2,18.0,19.9,91.0,
2025-03-17,0.0,25.5,16.9,20.3,86.0,
2025-03-18,0.0,28.0,17.2,21.6,86.0,
2025-03-19,0.0,23.7,18.1,20.2,88.0,
2025-03-20,0.0,24.2,16.7,19.6,83.0,
2025-03-21,0.0,26.5,15.3,19.6,81.0,
2025-03-22,0.0,28.8,16.4,21.3,82.0,
2025-03-23,0.0,27.3,17.8,21.9,86.0,
2025-03-24,0.0,26.4,18.3,21.7,86.0,
2025-03-25,0.0,28.3,17.9,22.2,85.0,
2025-03-26,0.0,26.4,17.2,20.9,87.0,
2025-03-27,0.0,26.6,16.9,21.2,85.0,
2025-03-28,0.0,27.6,17.9,22.2,84.0,
2025-03-29,0.0,27.9,18.0,22.1,86.0,
2025-03-30,0.0,28.3,17.0,21.7,85.0,
2025-03-31,0.0,27.8,16.9,21.8,86.0,
2025-04-01,0.0,27.6,18.7,22.0,87.0,
2025-04-02,0.0,28.7,19.0,23.1,83.0,
2025-04-03,0.0,28.2,19.4,23.1,84.0,
2025-04-04,0.3,24.7,19.1,21.4,92.0,
2025-04-05,1.0,19.0,16.0,17.3,91.0,
2025-04-06,0.0,19.8,15.6,17.0,87.0,
2025-04-07,0.0,20.9,16.1,17.8,84.0,
2025-04-08,0.0,25.8,13.6,18.9,81.0,
2025-04-09,0.0,27.0,16.9,21.1,84.0,
2025-04-10,0.0,25.2,17.7,20.2,89.0,
2025-04-11,0.0,24.5,16.7,19.7,87.0,
2025-04-12,0.0,25.4,15.5,19.8,84.0,
2025-04-13,0.2,26.0,16.8,20.7,83.0,
2025-04-14,0.0,22.4,17.8,19.7,88.0,
2025-04-15,0.0,24.5,16.6,19.5,85.0,
2025-04-16,1.1,23.7,16.9,19.6,88.0,
2025-04-17,0.0,24.4,15.6,19.8,88.0,
2025-04-18,0.0,25.5,17.3,20.6,88.0,
2025-04-19,0.0,25.9,16.9,20.8,87.0,
2025-04-20,0.0,21.3,17.7,19.1,90.0,
2025-04-21,0.0,21.9,16.2,18.1,87.0,
2025-04-22,0.0,20.9,15.3,17.3,87.0,
2025-04-23,0.0,23.8,14.4,18.0,87.0,
2025-04-24,3.8,24.0,16.0,19.1,91.0,
2025-04-25,25.6,19.1,17.7,18.2,97.0,
2025-04-26,0.0,22.8,16.7,19.4,91.0,
2025-04-27,0.0,26.0,16.2,20.0,86.0,
2025-04-28,0.0,23.1,16.7,19.5,92.0,
2025-04-29,0.0,21.4,16.0,18.1,86.0,
2025-04-30,0.0,20.3,13.5,16.3,85.0,
2025-05-01,0.0,21.8,12.7,16.3,85.0,
2025-05-02,0.0,23.3,12.8,17.3,84.0,
2025-05-03,0.0,23.4,12.5,17.2,87.0,
2025-05-04,0.0,23.0,13.0,17.1,86.0,
2025-05-05,0.0,23.8,12.9,17.9,83.0,
2025-05-06,0.0,23.9,14.7,18.6,82.0,
2025-05-07,0.0,25.4,13.5,18.9,83.0,
2025-05-08,0.0,27.3,15.2,20.5,81.0,
2025-05-09,0.0,27.8,18.0,22.2,69.0,
2025-05-10,0.1,23.8,17.2,20.3,81.0,
2025-05-11,0.0,17.1,15.0,16.0,90.0,
2025-05-12,0.0,18.6,14.8,16.4,91.0,
2025-05-13,0.0,21.9,15.1,17.5,87.0,
2025-05-14,0.0,21.2,12.5,16.6,85.0,
2025-05-15,0.0,21.9,11.7,16.4,83.0,
2025-05-16,0.0,23.3,13.1,17.7,83.0,
2025-05-17,0.0,24.4,13.7,18.3,85.0,
2025-05-18,0.0,25.4,14.3,19.3,81.0,
2025-05-19,0.0,25.7,15.8,19.9,71.0,
2025-05-20,0.0,26.1,14.9,19.8,78.0,
2025-05-21,0.0,24.7,13.6,18.7,81.0,
2025-05-22,0.0,23.6,16.1,19.0,88.0,
2025-05-23,0.0,18.8,16.1,17.3,92.0,
2025-05-24,0.0,20.4,15.8,17.3,89.0,
2025-05-25,0.0,22.8,12.8,17.2,87.0,
2025-05-26,0.0,24.8,13.7,18.1,84.0,
2025-05-27,0.0,25.1,15.1,19.2,74.0,
2025-05-28,0.0,23.3,16.5,19.1,67.0,
2025-05-29,0.0,17.6,8.9,13.2,80.0,
