data,rain_sum,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean
2025-02-20,,,,,
2025-02-21,,,,,
2025-02-22,,,,,
2025-02-23,0.0,31.4,20.1,24.5,74.0
2025-02-24,0.2,30.8,19.7,23.6,75.0
2025-02-25,0.0,31.1,20.3,23.9,76.0
2025-02-26,0.0,30.6,19.4,24.3,73.0
2025-02-27,0.0,31.4,20.1,25.2,64.0
2025-02-28,0.0,31.8,20.6,25.3,64.0
2025-03-01,0.0,31.9,19.7,25.0,67.0
2025-03-02,0.0,31.5,20.8,25.4,59.0
2025-03-03,0.0,32.5,20.7,25.0,59.0
2025-03-04,0.0,31.4,21.0,25.5,60.0
2025-03-05,2.1,30.9,19.1,23.6,69.0
2025-03-06,0.0,31.3,17.7,24.1,65.0
2025-03-07,0.0,31.3,18.3,24.5,60.0
2025-03-08,0.0,33.9,19.3,26.1,56.0
2025-03-09,0.0,35.6,22.8,29.1,50.0
2025-03-10,0.0,34.4,23.3,27.6,56.0
2025-03-11,0.0,33.9,21.5,26.8,67.0
2025-03-12,0.0,33.8,21.3,27.3,66.0
2025-03-13,0.0,33.6,20.9,27.5,61.0
2025-03-14,0.0,33.8,21.6,27.4,64.0
2025-03-15,0.0,32.9,22.1,27.1,68.0
2025-03-16,0.0,32.6,21.7,26.2,72.0
2025-03-17,0.0,30.8,20.5,25.1,75.0
2025-03-18,0.0,31.5,20.6,25.5,77.0
2025-03-19,0.0,28.2,20.7,23.9,81.0
2025-03-20,0.0,30.3,18.7,23.9,65.0
2025-03-21,0.0,31.4,17.6,24.1,64.0
2025-03-22,0.0,32.1,19.5,25.7,63.0
2025-03-23,0.0,29.4,21.5,24.9,76.0
2025-03-24,0.0,29.6,20.2,24.3,80.0
2025-03-25,0.0,32.7,21.3,26.2,70.0
2025-03-26,0.0,29.8,21.9,25.2,76.0
2025-03-27,0.0,30.6,20.0,24.9,75.0
2025-03-28,0.0,32.4,20.6,26.2,67.0
2025-03-29,0.0,32.0,20.5,26.3,69.0
2025-03-30,0.0,31.9,20.7,26.0,72.0
2025-03-31,0.0,28.6,21.9,24.5,85.0
2025-04-01,0.0,31.3,21.1,25.2,79.0
2025-04-02,0.0,32.9,21.1,26.4,70.0
2025-04-03,0.0,31.4,21.3,25.9,75.0
2025-04-04,0.0,30.5,21.6,25.2,80.0
2025-04-05,0.0,26.7,20.2,22.7,70.0
2025-04-06,0.0,28.6,17.2,22.0,63.0
2025-04-07,0.0,28.9,16.9,22.3,65.0
2025-04-08,0.0,31.0,17.0,24.0,60.0
2025-04-09,0.0,31.0,20.2,24.4,68.0
2025-04-10,0.0,29.9,19.2,23.7,78.0
2025-04-11,0.0,29.7,18.0,23.8,72.0
2025-04-12,0.0,31.4,17.8,24.4,63.0
2025-04-13,0.0,28.5,19.6,23.9,67.0
2025-04-14,0.0,28.3,20.0,23.3,81.0
2025-04-15,0.0,30.1,18.1,23.2,73.0
2025-04-16,2.6,26.3,20.0,22.8,82.0
2025-04-17,0.0,29.0,18.2,23.3,79.0
2025-04-18,0.0,27.2,20.0,23.3,83.0
2025-04-19,0.0,27.0,20.8,23.4,85.0
2025-04-20,0.0,28.3,19.2,23.4,75.0
2025-04-21,0.0,28.4,18.0,22.7,71.0
2025-04-22,0.0,28.6,16.4,21.8,67.0
2025-04-23,0.0,29.1,17.4,22.5,68.0
2025-04-24,0.0,27.5,20.1,23.3,80.0
2025-04-25,0.0,24.3,20.0,21.8,92.0
2025-04-26,0.0,25.5,19.4,22.0,90.0
2025-04-27,0.0,27.8,18.8,22.5,86.0
2025-04-28,0.0,26.0,19.8,22.2,87.0
2025-04-29,0.0,26.8,17.7,21.9,81.0
2025-04-30,0.0,26.7,16.8,20.9,68.0
2025-05-01,0.0,27.3,15.1,20.4,70.0
2025-05-02,0.0,28.2,14.9,21.1,69.0
2025-05-03,0.0,29.1,14.3,21.6,63.0
2025-05-04,0.0,28.1,16.3,21.7,65.0
2025-05-05,0.0,27.1,17.2,21.4,65.0
2025-05-06,0.0,27.6,15.0,21.0,66.0
2025-05-07,0.0,29.5,16.1,22.2,64.0
2025-05-08,0.0,31.1,17.8,23.8,64.0
2025-05-09,0.0,31.4,19.2,24.7,63.0
2025-05-10,0.0,30.4,18.2,24.1,66.0
2025-05-11,0.0,25.6,19.1,21.6,79.0
2025-05-12,0.0,26.5,16.3,20.6,68.0
2025-05-13,0.0,26.0,18.2,21.5,69.0
2025-05-14,0.0,26.5,16.2,20.9,66.0
2025-05-15,0.0,26.9,13.9,19.8,62.0
2025-05-16,0.0,28.0,15.2,20.6,64.0
2025-05-17,0.0,29.2,15.4,21.5,64.0
2025-05-18,0.0,29.6,19.1,22.9,58.0
2025-05-19,0.0,29.3,16.2,22.0,60.0
2025-05-20,0.0,29.0,14.7,21.0,65.0
2025-05-21,0.0,28.7,14.3,21.5,66.0
2025-05-22,0.0,29.1,17.0,21.9,65.0
2025-05-23,0.0,27.8,16.1,21.1,70.0
2025-05-24,0.0,28.8,16.4,21.7,67.0
2025-05-25,0.0,28.6,15.3,21.5,66.0
2025-05-26,0.0,28.6,14.8,21.0,63.0
2025-05-27,0.0,28.8,15.4,21.9,58.0
2025-05-28,0.9,24.0,18.0,20.7,67.0
2025-05-29,0.0,22.3,13.0,17.5,62.0
