data,rain_sum,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean
2025-02-20,,,,,
2025-02-21,,,,,
2025-02-22,,,,,
2025-02-23,0.0,27.4,19.5,22.6,83.0
2025-02-24,0.0,29.9,19.7,23.3,79.0
2025-02-25,0.0,31.7,20.2,24.3,75.0
2025-02-26,0.1,32.0,20.2,24.9,70.0
2025-02-27,0.0,32.3,20.8,25.2,66.0
2025-02-28,0.0,31.8,20.3,24.6,69.0
2025-03-01,0.0,31.8,20.3,24.8,69.0
2025-03-02,0.0,33.0,21.5,25.7,61.0
2025-03-03,0.0,32.0,20.9,25.1,61.0
2025-03-04,0.0,31.1,19.4,24.0,67.0
2025-03-05,0.0,30.3,20.3,24.0,68.0
2025-03-06,0.0,30.6,19.1,23.3,68.0
2025-03-07,0.0,30.6,19.7,23.5,69.0
2025-03-08,0.0,30.7,19.5,23.4,73.0
2025-03-09,0.0,31.7,18.8,24.3,74.0
2025-03-10,0.0,25.4,19.3,22.2,79.0
2025-03-11,0.0,28.7,19.0,22.2,83.0
2025-03-12,0.0,28.5,20.1,22.9,83.0
2025-03-13,0.0,28.8,20.1,23.4,82.0
2025-03-14,0.0,26.9,20.4,22.7,83.0
2025-03-15,0.0,26.3,19.9,21.8,85.0
2025-03-16,0.0,23.9,18.6,20.2,86.0
2025-03-17,0.0,25.5,18.3,20.9,83.0
2025-03-18,0.0,28.1,18.7,22.0,83.0
2025-03-19,0.0,23.9,18.7,20.5,86.0
2025-03-20,0.0,24.4,17.1,19.8,81.0
2025-03-21,0.0,26.1,16.3,19.9,79.0
2025-03-22,0.0,28.8,17.8,21.8,79.0
2025-03-23,0.0,27.1,19.3,22.5,83.0
2025-03-24,0.0,26.7,19.6,22.4,82.0
2025-03-25,0.0,27.7,19.1,22.7,83.0
2025-03-26,0.0,26.2,18.7,21.4,83.0
2025-03-27,0.0,26.9,18.2,21.6,82.0
2025-03-28,0.0,27.8,19.5,22.5,80.0
2025-03-29,0.0,28.3,18.8,22.6,84.0
2025-03-30,0.0,28.4,18.2,22.2,82.0
2025-03-31,0.0,27.7,18.2,22.4,84.0
2025-04-01,0.0,27.9,19.9,22.6,83.0
2025-04-02,0.0,28.9,20.0,23.7,79.0
2025-04-03,0.0,28.2,21.7,24.0,79.0
2025-04-04,0.0,25.2,19.5,21.8,90.0
2025-04-05,0.6,19.4,16.3,17.6,89.0
2025-04-06,0.0,19.8,15.8,17.1,84.0
2025-04-07,0.0,20.8,16.2,18.0,82.0
2025-04-08,0.0,25.6,15.3,19.5,77.0
2025-04-09,0.0,27.4,18.3,21.8,80.0
2025-04-10,0.0,25.3,18.7,20.6,86.0
2025-04-11,0.0,24.6,17.8,20.2,84.0
2025-04-12,0.0,25.5,16.4,20.2,82.0
2025-04-13,0.2,26.1,17.7,21.3,78.0
2025-04-14,0.0,22.9,18.0,20.1,84.0
2025-04-15,0.0,24.8,17.0,19.7,82.0
2025-04-16,1.3,23.8,18.2,20.2,83.0
2025-04-17,0.0,24.4,17.1,20.5,85.0
2025-04-18,0.0,25.7,18.5,21.0,85.0
2025-04-19,0.0,26.3,18.5,21.5,84.0
2025-04-20,0.0,21.2,17.9,19.3,88.0
2025-04-21,0.0,21.9,16.5,18.3,85.0
2025-04-22,0.0,21.1,15.7,17.5,84.0
2025-04-23,0.0,23.8,15.4,18.4,84.0
2025-04-24,3.3,24.5,17.1,19.5,87.0
2025-04-25,24.0,19.0,18.0,18.3,95.0
2025-04-26,0.0,23.2,17.7,19.7,87.0
2025-04-27,0.0,26.3,16.9,20.5,84.0
2025-04-28,0.0,23.2,18.2,19.9,89.0
2025-04-29,0.0,21.5,16.3,18.3,84.0
2025-04-30,0.0,20.6,14.7,16.7,82.0
2025-05-01,0.0,22.2,13.8,16.9,81.0
2025-05-02,0.0,23.3,14.2,17.7,81.0
2025-05-03,0.0,23.7,14.5,17.9,84.0
2025-05-04,0.0,23.2,14.1,17.8,84.0
2025-05-05,0.0,23.9,15.1,18.6,79.0
2025-05-06,0.0,23.8,15.7,18.9,80.0
2025-05-07,0.0,25.5,14.7,19.5,80.0
2025-05-08,0.0,27.4,16.6,21.2,79.0
2025-05-09,0.0,27.7,19.1,23.0,65.0
2025-05-10,0.0,23.7,17.5,20.9,75.0
2025-05-11,0.0,17.4,15.4,16.2,88.0
2025-05-12,0.0,18.9,15.1,16.5,88.0
2025-05-13,0.0,21.8,15.7,17.7,86.0
2025-05-14,0.0,21.2,14.0,17.0,83.0
2025-05-15,0.0,22.1,14.0,17.1,79.0
2025-05-16,0.0,23.4,14.0,18.2,81.0
2025-05-17,0.0,24.6,14.7,18.7,83.0
2025-05-18,0.0,25.8,15.3,20.0,78.0
2025-05-19,0.0,25.9,16.9,20.9,67.0
2025-05-20,0.0,26.2,16.1,20.6,77.0
2025-05-21,0.0,25.0,14.3,19.1,81.0
2025-05-22,0.0,23.7,17.2,19.4,86.0
2025-05-23,0.0,18.8,16.4,17.4,90.0
2025-05-24,0.0,20.0,16.0,17.4,87.0
2025-05-25,0.0,22.9,14.2,17.5,84.0
2025-05-26,0.0,24.8,14.6,18.5,84.0
2025-05-27,0.0,25.0,16.9,20.0,71.0
2025-05-28,0.0,23.5,17.6,19.4,66.0
2025-05-29,0.0,17.9,9.8,13.2,79.0
