data,rain_sum,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean
2025-02-20,,,,,
2025-02-21,,,,,
2025-02-22,,,,,
2025-02-23,0.0,26.4,19.8,21.9,86.0
2025-02-24,0.0,29.4,19.6,23.1,78.0
2025-02-25,0.0,30.7,19.9,24.1,74.0
2025-02-26,0.0,31.3,19.9,24.4,69.0
2025-02-27,0.0,31.4,20.4,24.6,65.0
2025-02-28,0.0,30.4,20.3,23.9,71.0
2025-03-01,0.0,30.8,19.9,24.0,70.0
2025-03-02,0.0,31.3,21.0,24.7,63.0
2025-03-03,0.0,29.8,20.4,23.9,65.0
2025-03-04,0.0,29.8,19.5,23.2,70.0
2025-03-05,0.0,28.9,19.9,23.1,70.0
2025-03-06,0.0,28.6,18.9,22.4,73.0
2025-03-07,0.0,28.5,19.6,22.5,73.0
2025-03-08,0.0,29.0,19.4,22.9,73.0
2025-03-09,0.0,31.3,18.5,23.5,75.0
2025-03-10,0.0,26.0,17.7,21.7,79.0
2025-03-11,0.0,29.3,17.6,21.8,85.0
2025-03-12,0.0,28.9,19.2,22.5,86.0
2025-03-13,0.0,28.9,19.5,23.0,86.0
2025-03-14,0.0,27.1,19.3,22.0,88.0
2025-03-15,0.0,25.8,18.8,21.4,88.0
2025-03-16,0.0,23.7,19.0,20.6,89.0
2025-03-17,0.0,25.2,17.7,20.6,86.0
2025-03-18,0.0,28.3,17.4,21.5,87.0
2025-03-19,0.0,21.9,18.6,20.1,90.0
2025-03-20,0.0,23.8,15.7,19.3,84.0
2025-03-21,0.0,26.7,15.4,19.4,80.0
2025-03-22,0.0,28.6,16.3,21.2,82.0
2025-03-23,0.0,27.3,17.9,21.8,87.0
2025-03-24,0.0,26.7,18.6,21.9,86.0
2025-03-25,0.0,26.9,19.3,22.1,85.0
2025-03-26,0.0,26.3,17.0,20.8,87.0
2025-03-27,0.0,26.2,16.6,20.7,86.0
2025-03-28,0.0,28.4,18.0,21.9,84.0
2025-03-29,0.0,27.5,17.7,21.8,87.0
2025-03-30,0.0,28.0,16.8,21.4,86.0
2025-03-31,0.0,27.8,17.4,21.9,87.0
2025-04-01,0.0,28.3,18.5,22.3,85.0
2025-04-02,0.0,29.3,18.4,23.0,84.0
2025-04-03,0.0,28.3,20.5,23.6,82.0
2025-04-04,2.0,24.8,19.5,21.4,93.0
2025-04-05,1.4,19.4,16.3,17.5,91.0
2025-04-06,0.0,19.3,15.8,17.0,85.0
2025-04-07,0.0,20.9,16.2,17.8,84.0
2025-04-08,0.0,26.0,14.6,19.0,81.0
2025-04-09,0.0,28.3,17.7,21.6,80.0
2025-04-10,0.0,25.2,18.3,20.2,90.0
2025-04-11,0.0,23.2,17.4,19.6,89.0
2025-04-12,0.0,25.1,15.5,19.4,86.0
2025-04-13,0.2,26.6,16.6,20.7,81.0
2025-04-14,0.0,22.7,18.0,20.1,87.0
2025-04-15,0.0,24.5,15.9,19.4,86.0
2025-04-16,1.3,24.8,17.5,19.7,88.0
2025-04-17,0.0,24.3,16.5,19.7,89.0
2025-04-18,0.0,25.6,17.1,20.4,89.0
2025-04-19,0.0,26.3,18.2,21.2,88.0
2025-04-20,0.0,20.6,17.8,19.2,90.0
2025-04-21,0.0,21.1,16.0,18.1,88.0
2025-04-22,0.0,21.0,13.5,16.6,88.0
2025-04-23,0.0,23.8,13.6,17.5,87.0
2025-04-24,3.1,24.9,15.7,19.0,91.0
2025-04-25,22.0,19.8,17.8,18.5,96.0
2025-04-26,0.0,23.3,16.4,19.4,90.0
2025-04-27,0.0,26.0,16.2,20.0,87.0
2025-04-28,0.0,23.9,17.5,19.8,91.0
2025-04-29,0.0,21.0,15.8,18.0,87.0
2025-04-30,0.0,20.9,13.1,16.2,84.0
2025-05-01,0.0,21.9,12.2,16.2,85.0
2025-05-02,0.0,23.4,11.9,16.9,84.0
2025-05-03,0.0,23.3,13.7,17.2,88.0
2025-05-04,0.0,23.1,12.8,17.1,86.0
2025-05-05,0.0,23.5,13.1,17.8,82.0
2025-05-06,0.0,23.8,13.7,17.9,85.0
2025-05-07,0.0,25.2,13.7,18.7,83.0
2025-05-08,0.0,27.2,15.3,20.5,80.0
2025-05-09,0.0,27.9,17.5,22.3,69.0
2025-05-10,0.1,22.8,18.2,20.4,79.0
2025-05-11,0.1,17.4,15.5,16.6,90.0
2025-05-12,0.0,19.7,15.0,16.7,89.0
2025-05-13,0.0,21.3,14.4,17.2,88.0
2025-05-14,0.0,21.2,11.5,16.1,84.0
2025-05-15,0.0,21.6,11.3,16.0,82.0
2025-05-16,0.0,23.1,13.4,17.5,83.0
2025-05-17,0.0,24.2,13.6,17.7,86.0
2025-05-18,0.0,25.7,14.6,19.1,78.0
2025-05-19,0.0,25.5,14.6,19.5,74.0
2025-05-20,0.0,26.3,14.7,19.5,74.0
2025-05-21,0.0,24.3,16.3,19.8,76.0
2025-05-22,0.0,23.9,16.3,19.0,89.0
2025-05-23,3.3,18.5,16.4,17.3,93.0
2025-05-24,0.0,20.4,16.0,17.3,90.0
2025-05-25,0.0,22.5,13.3,17.1,85.0
2025-05-26,0.0,24.6,13.9,18.2,85.0
2025-05-27,0.0,24.9,14.8,18.9,77.0
2025-05-28,0.0,24.1,17.5,19.6,65.0
2025-05-29,0.0,18.5,9.7,13.5,83.0
