data,rain_sum,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean
2025-02-20,,,,,
2025-02-21,,,,,
2025-02-22,,,,,
2025-02-23,0.0,27.2,19.3,22.3,83.0
2025-02-24,0.0,29.7,19.5,23.1,79.0
2025-02-25,0.0,31.5,20.0,24.1,75.0
2025-02-26,0.1,31.8,20.0,24.7,70.0
2025-02-27,0.0,32.1,20.6,25.0,66.0
2025-02-28,0.0,31.6,20.1,24.4,69.0
2025-03-01,0.0,31.6,20.1,24.5,69.0
2025-03-02,0.0,32.8,21.3,25.5,61.0
2025-03-03,0.0,31.8,20.7,24.9,61.0
2025-03-04,0.0,30.9,19.2,23.8,67.0
2025-03-05,0.0,30.1,20.1,23.7,68.0
2025-03-06,0.0,30.4,18.9,23.1,68.0
2025-03-07,0.0,30.4,19.5,23.3,69.0
2025-03-08,0.0,30.5,19.3,23.1,74.0
2025-03-09,0.0,31.3,16.9,23.7,75.0
2025-03-10,0.0,25.3,18.7,21.7,83.0
2025-03-11,0.0,28.8,17.8,21.8,86.0
2025-03-12,0.0,28.5,18.8,22.6,86.0
2025-03-13,0.0,28.2,19.1,23.0,86.0
2025-03-14,0.0,26.6,19.4,22.4,87.0
2025-03-15,0.0,26.0,19.5,21.6,88.0
2025-03-16,0.0,23.2,18.1,19.9,91.0
2025-03-17,0.0,25.5,16.9,20.4,86.0
2025-03-18,0.0,28.1,17.2,21.7,86.0
2025-03-19,0.0,23.7,18.1,20.3,88.0
2025-03-20,0.0,24.2,16.7,19.7,83.0
2025-03-21,0.0,26.5,15.3,19.7,81.0
2025-03-22,0.0,28.9,16.4,21.4,82.0
2025-03-23,0.0,27.4,17.9,22.0,86.0
2025-03-24,0.0,26.5,18.3,21.8,86.0
2025-03-25,0.0,28.3,17.9,22.2,85.0
2025-03-26,0.0,26.5,17.3,20.9,87.0
2025-03-27,0.0,26.7,17.0,21.2,85.0
2025-03-28,0.0,27.7,17.9,22.2,84.0
2025-03-29,0.0,28.0,18.0,22.2,86.0
2025-03-30,0.0,28.3,17.0,21.8,85.0
2025-03-31,0.0,27.9,16.9,21.9,86.0
2025-04-01,0.0,27.7,18.7,22.1,87.0
2025-04-02,0.0,28.7,19.0,23.2,83.0
2025-04-03,0.0,28.2,19.4,23.2,84.0
2025-04-04,0.3,24.7,19.2,21.5,92.0
2025-04-05,1.0,19.1,16.1,17.3,91.0
2025-04-06,0.0,19.8,15.6,17.1,87.0
2025-04-07,0.0,21.0,16.2,17.9,84.0
2025-04-08,0.0,25.8,13.6,19.0,81.0
2025-04-09,0.0,27.0,17.0,21.2,84.0
2025-04-10,0.0,25.3,17.8,20.3,89.0
2025-04-11,0.0,24.5,16.7,19.8,87.0
2025-04-12,0.0,25.4,15.5,19.9,84.0
2025-04-13,0.2,26.0,16.8,20.7,83.0
2025-04-14,0.0,22.4,17.9,19.8,88.0
2025-04-15,0.0,24.5,16.7,19.5,85.0
2025-04-16,1.1,23.7,17.0,19.7,88.0
2025-04-17,0.0,24.4,15.7,19.9,88.0
2025-04-18,0.0,25.5,17.4,20.6,88.0
2025-04-19,0.0,25.9,17.0,20.8,87.0
2025-04-20,0.0,21.3,17.7,19.2,90.0
2025-04-21,0.0,22.0,16.3,18.2,87.0
2025-04-22,0.0,21.0,15.4,17.3,87.0
2025-04-23,0.0,23.8,14.5,18.1,87.0
2025-04-24,3.8,24.0,16.1,19.1,91.0
2025-04-25,25.6,19.2,17.8,18.3,97.0
2025-04-26,0.0,22.9,16.8,19.5,91.0
2025-04-27,0.0,26.1,16.3,20.1,86.0
2025-04-28,0.0,23.2,16.8,19.5,92.0
2025-04-29,0.0,21.5,16.1,18.2,86.0
2025-04-30,0.0,20.4,13.6,16.3,85.0
2025-05-01,0.0,21.9,12.7,16.4,85.0
2025-05-02,0.0,23.4,12.9,17.4,84.0
2025-05-03,0.0,23.4,12.6,17.2,87.0
2025-05-04,0.0,23.1,13.0,17.2,86.0
2025-05-05,0.0,23.8,13.0,18.0,83.0
2025-05-06,0.0,23.9,14.8,18.6,82.0
2025-05-07,0.0,25.4,13.5,18.9,83.0
2025-05-08,0.0,27.4,15.2,20.6,81.0
2025-05-09,0.0,27.9,18.1,22.3,69.0
2025-05-10,0.1,23.9,17.3,20.3,81.0
2025-05-11,0.0,17.1,15.1,16.0,90.0
2025-05-12,0.0,18.7,14.9,16.4,91.0
2025-05-13,0.0,21.9,15.2,17.6,87.0
2025-05-14,0.0,21.2,12.5,16.6,85.0
2025-05-15,0.0,21.9,11.8,16.4,83.0
2025-05-16,0.0,23.4,13.1,17.7,83.0
2025-05-17,0.0,24.5,13.8,18.4,85.0
2025-05-18,0.0,25.4,14.4,19.4,81.0
2025-05-19,0.0,25.7,15.8,20.0,71.0
2025-05-20,0.0,26.1,15.0,19.9,78.0
2025-05-21,0.0,24.7,13.7,18.8,81.0
2025-05-22,0.0,23.7,16.1,19.1,88.0
2025-05-23,0.0,18.8,16.1,17.4,92.0
2025-05-24,0.0,20.4,15.8,17.4,89.0
2025-05-25,0.0,22.8,12.8,17.2,87.0
2025-05-26,0.0,24.9,13.7,18.2,84.0
2025-05-27,0.0,25.2,15.1,19.2,74.0
2025-05-28,0.0,23.3,16.5,19.1,67.0
2025-05-29,0.0,17.7,9.0,13.3,80.0
